author,alias,title,date,ip,city,country,ups,downs,comments,url
tycousin,500元,[情報] BIBI - 假面舞會,2022-09-27 13:26:45,114.47.160.125,New Taipei,Taiwan,27,0,4,https://www.ptt.cc/bbs/KoreanPop/M.1664256409.A.438.html
Im22Yo,Beautiful Wanna One,[情報] MAMAMOO 'MIC ON' 10/11回歸,2022-09-26 23:02:14,101.138.201.192,,Taiwan,88,0,9,https://www.ptt.cc/bbs/KoreanPop/M.1664204536.A.2CB.html
pkkcyc,,[情報] HANTEO週榜 (2022-09-19 ~ 2022-09-25),2022-09-26 21:48:10,36.227.227.192,Hualien City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664200092.A.8E8.html
Im22Yo,Beautiful Wanna One,[影音] 月水金火木土 OST Part.1 - YUJU,2022-09-29 11:02:46,101.138.0.246,,Taiwan,6,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664420569.A.51B.html
johnny40615,豆?,[影音] 未來少年 (MIRAE) - Drip N' Drop,2022-09-29 01:51:44,114.24.0.245,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664387510.A.0C3.html
sodavoxyi,LOVE YOURSELF,[情報] 李正權 - 想要觸碰你,2022-09-30 12:13:57,220.138.220.244,Keelung,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664511242.A.1CB.html
johnny40615,豆?,[影音] 220918 SBS 人氣歌謠,2022-09-18 20:03:28,114.24.0.245,New Taipei,Taiwan,22,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1663502611.A.7F5.html
angelak765,Wandering,[情報] Dept - Van Gogh,2022-09-18 16:51:38,42.77.86.0,Kaohsiung City,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663491104.A.EBB.html
tycousin,500元,[情報] Street Man Fighter Original Vol.4,2022-09-20 17:22:48,114.47.174.172,Kaohsiung City,Taiwan,20,0,7,https://www.ptt.cc/bbs/KoreanPop/M.1663665773.A.358.html
tycousin,500元,[影音] [加長型禮車服務] EP.29 NMIXX Lily,2022-09-20 17:00:04,223.139.143.70,Kaohsiung City,Taiwan,84,0,22,https://www.ptt.cc/bbs/KoreanPop/M.1663664406.A.50D.html
lucy9422,chiaya,Fw: [情報] KARDI - Chil,2022-09-25 11:16:24,111.71.213.214,Taoyuan District,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664075785.A.E76.html
sodavoxyi,LOVE YOURSELF,[情報] ADORA 迷你1輯 [Adorable REbirth] 預告集中,2022-09-24 23:03:03,36.225.188.156,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664031785.A.A1C.html
Im22Yo,Beautiful Wanna One,[影音] Billlie - Ring My Bell 接力舞蹈,2022-09-24 20:01:07,101.139.191.84,,Taiwan,5,0,1,https://www.ptt.cc/bbs/KoreanPop/M.1664020869.A.077.html
yihsuan1122,,[情報] OUREALGOAT - 連一瞬間都沒有餘裕,2022-09-24 19:09:34,49.216.89.141,New Taipei,Taiwan,3,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664017778.A.C36.html
zesihaq,迷途小書僮,[情報] EPIK HIGH要來啦！,2022-09-24 17:36:28,114.25.206.12,New Taipei,Taiwan,9,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664012190.A.707.html
angelak765,Wandering,[影音] 空氣男(Airman) - 夢兆,2022-09-24 17:33:34,42.77.68.192,Tainan City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664012022.A.0EC.html
Im22Yo,Beautiful Wanna One,[影音] Blind OST Part.1 - Kim Ye Ji,2022-09-24 17:32:01,101.139.18.79,,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664011926.A.6FC.html
Im22Yo,Beautiful Wanna One,[情報] 千元律師 OST Part.1 - DINDIN,2022-09-24 17:29:13,101.139.18.79,,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664011757.A.86C.html
Im22Yo,Beautiful Wanna One,[情報] 金湯匙 OST Part.1 - 閔庚勳,2022-09-24 17:23:08,101.139.18.79,,Taiwan,4,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1664011390.A.38F.html
johnny40615,豆?,[影音] 220924 MBC Show!音樂中心,2022-09-24 15:48:22,114.24.0.245,New Taipei,Taiwan,19,0,5,https://www.ptt.cc/bbs/KoreanPop/M.1664005705.A.D5F.html
tycousin,500元,[情報] 鮮于貞娥 - black coffee Feat. 禹元才,2022-09-24 11:34:38,114.47.194.123,Tainan City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663990483.A.713.html
tycousin,500元,[情報] CHANMINA - Don't go Feat. ASH ISLAND,2022-09-24 11:18:33,114.47.194.123,Tainan City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663989517.A.B59.html
tycousin,500元,"[情報] 換乘戀愛2 OST Part.4 - KOYO,Jungtune",2022-09-24 11:12:32,114.47.194.123,Tainan City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663989157.A.A43.html
tycousin,500元,"[情報] 換乘戀愛2 OST Part.3 - Kim Ye Jun,eSNa",2022-09-24 11:12:17,114.47.194.123,Tainan City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663989141.A.197.html
johnny40615,豆?,[影音] 220923 ArirangTV Simply K-Pop,2022-09-24 01:21:46,114.24.0.245,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663953708.A.AA4.html
bboy0223,,[影音] 220922 2022 首爾國際電視節 表演,2022-09-24 00:14:05,118.167.18.125,New Taipei,Taiwan,3,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663949649.A.ECE.html
yihsuan1122,,"[影音] 姜珉炅, 崔政勳 - 因為我們那麼相愛 預告",2022-09-23 22:34:56,49.216.222.233,,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663943699.A.355.html
nccucat, ,[影音] mimiirose - BLACKPINK dance cover,2022-09-23 21:28:33,1.165.65.154,Taichung,Taiwan,2,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663939715.A.09D.html
johnny40615,豆?,[影音] 220923 KBS Music Bank,2022-09-23 18:35:14,114.24.0.245,New Taipei,Taiwan,31,0,8,https://www.ptt.cc/bbs/KoreanPop/M.1663929317.A.466.html
tycousin,500元,[情報] Kep1er - Sugar Rush,2022-09-23 17:51:05,42.77.245.148,Chiayi,Taiwan,5,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663926669.A.80E.html
tycousin,500元,[影音] 220917-0923 MBC IT's LIVE (Band LIVE),2022-09-23 16:00:28,42.77.245.148,Chiayi,Taiwan,11,0,4,https://www.ptt.cc/bbs/KoreanPop/M.1663920030.A.455.html
jinyi,.,[新聞] 演員李彩玟擔任《MUSIC BANK》新MC,2022-09-23 13:55:43,140.111.153.41,,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663912546.A.62F.html
Im22Yo,Beautiful Wanna One,[影音] JUN (SEVENTEEN) - LIMBO Official M/V,2022-09-23 12:07:13,101.138.46.81,,Taiwan,3,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663906035.A.A86.html
johnny40615,豆?,[情報] 220925 SBS 人氣歌謠 節目單,2022-09-23 09:33:46,114.24.0.245,New Taipei,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663896829.A.328.html
johnny40615,豆?,[情報] 220923 KBS Music Bank 節目單,2022-09-23 09:19:20,114.24.0.245,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663895963.A.AEE.html
yihsuan1122,,[影音]Dingo SOUND IN THE LAB EP3 - Leellamarz,2022-09-23 00:50:22,45.133.181.113,New Taipei,Taiwan,1,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1663865425.A.2F7.html
tycousin,500元,[影音] 雨琦 ((G)I-DLE) - Beggin’(Cover),2022-09-23 00:14:44,114.47.157.25,Kaohsiung City,Taiwan,12,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663863286.A.F37.html
pkkcyc,,[情報] CIRCLE Global榜(2022.09.11~2022.09.17),2022-09-22 22:18:00,36.227.229.193,Hualien City,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663856283.A.DDE.html
pkkcyc,,[情報] CIRCLE專輯週榜 (2022.09.11~2022.09.17),2022-09-22 22:15:26,36.227.229.193,Hualien City,Taiwan,9,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1663856128.A.0C7.html
pkkcyc,,[情報] CIRCLE數位週榜 (2022.09.11~2022.09.17),2022-09-22 22:06:33,36.227.229.193,Hualien City,Taiwan,1,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663855596.A.2C8.html
nccucat, ,[情報] 143娛樂新女團LIMELIGHT 9/29 PRE-DEBUT,2022-09-22 21:14:17,1.165.65.154,Taichung,Taiwan,8,0,3,https://www.ptt.cc/bbs/KoreanPop/M.1663852460.A.9F2.html
yukihira,△_▲△,[影音] TEMPEST - Young & Wild(Dance Practice),2022-09-22 21:14:04,49.158.101.59,New Taipei,Taiwan,0,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663852447.A.792.html
debbielu,lulu,[情報] UP10TION 迷你11輯 Code Name:Arrow 回歸預告集中,2022-09-22 20:41:36,175.183.32.117,,Taiwan,6,0,0,https://www.ptt.cc/bbs/KoreanPop/M.1663850498.A.128.html
johnny40615,豆?,[影音] 220922 Mnet M Countdown,2022-09-22 20:30:05,114.24.0.245,New Taipei,Taiwan,24,0,6,https://www.ptt.cc/bbs/KoreanPop/M.1663849819.A.F27.html
tycousin,500元,[情報] Lapillus 迷你ㄧ輯 GIRL's ROUND Part.1,2022-09-22 17:28:47,223.139.165.29,Kaohsiung City,Taiwan,14,0,3,https://www.ptt.cc/bbs/KoreanPop/M.1663838931.A.28B.html
tycousin,500元,[情報] 說出你的願望 OST Part.9 - 太妍 ,2022-09-22 17:17:46,223.139.165.29,Kaohsiung City,Taiwan,20,0,2,https://www.ptt.cc/bbs/KoreanPop/M.1663838269.A.D03.html
